,date,count_snk,sum_counts_snk,count_nf,sum_counts_nf
0,07-2014,3.0,3.0,0.0,0.0
1,08-2014,2.0,5.0,0.0,0.0
2,09-2014,5.0,10.0,0.0,0.0
3,10-2014,2.0,12.0,0.0,0.0
4,12-2014,15.0,27.0,0.0,0.0
5,01-2015,5.0,32.0,0.0,0.0
6,03-2015,4.0,36.0,0.0,0.0
7,04-2015,5.0,41.0,0.0,0.0
8,05-2015,2.0,43.0,0.0,0.0
9,07-2015,2.0,45.0,0.0,0.0
10,09-2015,7.0,52.0,0.0,0.0
11,10-2015,1.0,53.0,0.0,0.0
12,11-2015,2.0,55.0,0.0,0.0
13,02-2016,5.0,60.0,0.0,0.0
14,03-2016,7.0,67.0,0.0,0.0
15,04-2016,3.0,70.0,0.0,0.0
16,05-2016,9.0,79.0,0.0,0.0
17,06-2016,7.0,86.0,0.0,0.0
18,07-2016,11.0,97.0,0.0,0.0
19,08-2016,26.0,123.0,0.0,0.0
20,09-2016,24.0,147.0,0.0,0.0
21,10-2016,10.0,157.0,0.0,0.0
22,11-2016,15.0,172.0,0.0,0.0
23,12-2016,9.0,181.0,0.0,0.0
24,01-2017,6.0,187.0,1.0,1.0
25,02-2017,14.0,201.0,2.0,3.0
26,03-2017,6.0,207.0,1.0,4.0
27,04-2017,36.0,243.0,3.0,7.0
28,05-2017,29.0,272.0,1.0,8.0
29,06-2017,28.0,300.0,1.0,9.0
30,07-2017,7.0,307.0,3.0,12.0
31,08-2017,15.0,322.0,4.0,16.0
32,09-2017,9.0,331.0,3.0,19.0
33,10-2017,29.0,360.0,1.0,20.0
34,11-2017,31.0,391.0,3.0,23.0
35,12-2017,28.0,419.0,2.0,25.0
36,01-2018,11.0,430.0,6.0,31.0
37,02-2018,8.0,438.0,11.0,42.0
38,03-2018,41.0,479.0,14.0,56.0
39,04-2018,39.0,518.0,13.0,69.0
40,05-2018,26.0,544.0,17.0,86.0
41,06-2018,28.0,572.0,20.0,106.0
42,07-2018,55.0,627.0,11.0,117.0
43,08-2018,20.0,647.0,19.0,136.0
44,09-2018,44.0,691.0,12.0,148.0
45,10-2018,74.0,765.0,19.0,167.0
46,11-2018,20.0,785.0,24.0,191.0
47,12-2018,72.0,857.0,13.0,204.0
48,01-2019,41.0,898.0,16.0,220.0
49,02-2019,60.0,958.0,29.0,249.0
50,03-2019,83.0,1041.0,25.0,274.0
51,04-2019,43.0,1084.0,26.0,300.0
52,05-2019,52.0,1136.0,22.0,322.0
53,06-2019,6.0,1142.0,36.0,358.0
54,07-2019,68.0,1210.0,35.0,393.0
55,08-2019,48.0,1258.0,27.0,420.0
56,09-2019,71.0,1329.0,45.0,465.0
57,10-2019,167.0,1496.0,57.0,522.0
58,11-2019,72.0,1568.0,41.0,563.0
59,12-2019,62.0,1630.0,33.0,596.0
60,01-2020,67.0,1697.0,37.0,633.0
61,02-2020,65.0,1762.0,34.0,667.0
62,03-2020,67.0,1829.0,39.0,706.0
63,04-2020,46.0,1875.0,38.0,744.0
64,05-2020,62.0,1937.0,45.0,789.0
65,06-2020,102.0,2039.0,39.0,828.0
66,07-2020,67.0,2106.0,38.0,866.0
67,08-2020,21.0,2127.0,33.0,899.0
68,09-2020,63.0,2190.0,32.0,931.0
69,10-2020,72.0,2262.0,48.0,979.0
70,11-2020,64.0,2326.0,50.0,1029.0
71,12-2020,26.0,2352.0,31.0,1060.0
72,01-2021,55.0,2407.0,40.0,1100.0
73,02-2021,58.0,2465.0,68.0,1168.0
74,03-2021,105.0,2570.0,53.0,1221.0
75,04-2021,48.0,2618.0,44.0,1265.0
76,05-2021,40.0,2658.0,53.0,1318.0
77,06-2021,74.0,2732.0,60.0,1378.0
78,07-2021,49.0,2781.0,54.0,1432.0
79,08-2021,80.0,2861.0,33.0,1465.0
80,09-2021,54.0,2915.0,61.0,1526.0
81,10-2021,102.0,3017.0,39.0,1565.0
82,11-2021,29.0,3046.0,42.0,1607.0
83,12-2021,23.0,3069.0,45.0,1652.0
84,01-2022,0.0,3069.0,52.0,1704.0
85,02-2022,0.0,3069.0,57.0,1761.0
86,03-2022,0.0,3069.0,28.0,1789.0
